Building tokenizer rules (Stopping at Category level)...

[Verification] Tokenizing 'A00':
   Tokens: ['a</w>', '0</w>', '0</w>']
----------------------------------------
Starting Training (Split Token Strategy)...
Epoch 1 | Loss: 3.7696519111
Epoch 2 | Loss: 0.3436634647
Epoch 3 | Loss: 0.2854133461
Epoch 4 | Loss: 0.2766718417
Epoch 5 | Loss: 0.2674598353
Epoch 6 | Loss: 0.2537385353
Epoch 7 | Loss: 0.2306568239
Epoch 8 | Loss: 0.1967805954
Epoch 9 | Loss: 0.1635352969
Epoch 10 | Loss: 0.1197617411
Epoch 11 | Loss: 0.0536488652
Epoch 12 | Loss: 0.0117520636
Epoch 13 | Loss: 0.0014359289
Epoch 14 | Loss: 0.0004837970
Epoch 15 | Loss: 0.0003286238
Epoch 16 | Loss: 0.0002750094
Epoch 17 | Loss: 0.0002439198
Epoch 18 | Loss: 0.0002214067
Epoch 19 | Loss: 0.0002028292
Epoch 20 | Loss: 0.0001870753
Epoch 21 | Loss: 0.0001735642
Epoch 22 | Loss: 0.0001616574
Epoch 23 | Loss: 0.0001512124
Epoch 24 | Loss: 0.0001418188
Epoch 25 | Loss: 0.0001333910
Epoch 26 | Loss: 0.0001256187
Epoch 27 | Loss: 0.0001188250
Epoch 28 | Loss: 0.0001126235
Epoch 29 | Loss: 0.0001070254
Epoch 30 | Loss: 0.0001018151
Epoch 31 | Loss: 0.0000969752
Epoch 32 | Loss: 0.0000926342
Epoch 33 | Loss: 0.0000886542
Epoch 34 | Loss: 0.0000848836
Epoch 35 | Loss: 0.0000814337
Epoch 36 | Loss: 0.0000782266
Epoch 37 | Loss: 0.0000750796
Epoch 38 | Loss: 0.0000721562
Epoch 39 | Loss: 0.0000695427
Epoch 40 | Loss: 0.0000670933
Epoch 41 | Loss: 0.0000647960
Epoch 42 | Loss: 0.0000625992
Epoch 43 | Loss: 0.0000605957
Epoch 44 | Loss: 0.0000587175
Epoch 45 | Loss: 0.0000568743
Epoch 46 | Loss: 0.0000551081
